age,job,marital,education,default,balance,housing,loan,contact,day,month,duration
55,management,married,tertiary,no,0,yes,no,unknown,14,may,159
39,management,single,tertiary,no,3797,no,no,cellular,2,jun,96
46,admin.,married,secondary,no,22,yes,no,cellular,7,aug,414
32,technician,single,tertiary,no,2204,yes,no,cellular,21,nov,11
40,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,245
53,admin.,married,secondary,no,1796,no,no,telephone,16,mar,295
34,blue-collar,married,secondary,no,360,yes,no,telephone,19,nov,46
47,technician,married,secondary,no,3973,no,no,cellular,6,aug,732
38,technician,single,secondary,no,258,no,yes,unknown,20,jun,587
36,services,single,secondary,no,417,yes,no,cellular,6,feb,15
24,blue-collar,married,secondary,no,-254,yes,yes,unknown,27,may,290
23,management,single,tertiary,no,736,yes,no,cellular,30,apr,119
34,technician,divorced,tertiary,no,674,yes,no,cellular,7,aug,587
47,blue-collar,married,primary,no,556,yes,no,cellular,4,feb,147
34,technician,divorced,tertiary,no,674,yes,no,cellular,7,aug,587
37,admin.,married,secondary,no,7,yes,no,cellular,27,may,224
37,management,single,tertiary,no,9,no,no,cellular,26,aug,484
37,management,married,tertiary,no,1689,yes,no,unknown,29,may,645
24,services,married,secondary,yes,110,yes,no,unknown,23,may,27
48,management,single,tertiary,no,8106,no,no,unknown,17,nov,125
30,technician,married,tertiary,no,569,no,no,cellular,27,aug,976
61,management,married,secondary,no,1471,no,no,cellular,12,aug,331
33,blue-collar,single,secondary,no,706,yes,no,cellular,7,apr,329
38,services,married,secondary,no,-140,no,no,unknown,25,jun,456
48,technician,divorced,secondary,yes,20,no,no,cellular,27,aug,145
33,technician,divorced,tertiary,no,39,no,no,cellular,19,aug,123
53,management,married,tertiary,no,1343,no,no,cellular,5,aug,129
41,technician,married,secondary,no,55,yes,no,cellular,6,aug,185
53,admin.,married,secondary,no,105,no,yes,cellular,21,aug,74
60,admin.,married,secondary,no,-396,yes,no,cellular,11,may,443
48,technician,married,secondary,no,7020,no,no,cellular,6,aug,80
56,blue-collar,divorced,primary,no,3021,no,no,unknown,9,jun,419
37,technician,single,secondary,no,-242,yes,no,cellular,13,aug,1149
37,technician,married,secondary,no,1063,yes,no,cellular,31,jul,413
56,unknown,married,unknown,no,0,no,no,unknown,20,jun,471
51,housemaid,divorced,secondary,no,9228,no,no,cellular,18,jul,655
42,services,married,secondary,no,96,yes,no,cellular,5,may,238
32,management,single,tertiary,no,3616,no,no,cellular,14,aug,165
27,services,single,secondary,no,259,yes,no,unknown,23,may,78
47,technician,married,secondary,no,-938,yes,no,unknown,28,may,176
34,blue-collar,married,unknown,no,41,yes,no,cellular,6,may,34
53,blue-collar,married,secondary,no,0,no,no,telephone,31,jul,36
46,services,married,secondary,no,0,yes,no,cellular,22,jun,154
34,blue-collar,married,secondary,no,856,yes,no,cellular,20,apr,470
34,blue-collar,married,tertiary,no,20,no,no,unknown,4,oct,10
36,self-employed,married,tertiary,no,16,yes,yes,cellular,18,jul,95
36,management,married,tertiary,no,-296,yes,no,cellular,14,may,113
32,entrepreneur,married,primary,no,795,no,no,cellular,8,aug,131
33,services,married,secondary,no,4789,yes,yes,cellular,11,may,220
53,technician,married,secondary,no,100,no,no,cellular,13,aug,205
24,management,single,tertiary,no,172,no,no,cellular,3,jul,67
26,technician,single,tertiary,no,1216,yes,no,cellular,16,apr,472
49,technician,married,unknown,no,323,yes,no,cellular,18,nov,41
31,blue-collar,married,secondary,no,79,yes,yes,cellular,23,jul,235
24,services,married,secondary,no,4500,yes,no,cellular,11,may,733
40,management,married,tertiary,no,8969,yes,no,cellular,17,nov,153
37,blue-collar,married,primary,no,403,yes,no,cellular,8,may,318
52,blue-collar,married,primary,no,36,no,no,cellular,13,aug,109
33,technician,single,secondary,no,291,no,no,cellular,25,aug,72
30,management,single,tertiary,no,2,no,no,cellular,16,jun,102
43,entrepreneur,married,secondary,no,59,no,no,unknown,13,may,437
31,admin.,single,secondary,no,223,yes,no,cellular,17,apr,508
33,services,married,primary,no,6904,no,no,telephone,20,nov,114
26,services,single,secondary,yes,-162,yes,no,cellular,15,may,44
33,blue-collar,married,primary,no,-195,no,no,unknown,20,sep,9
47,services,divorced,secondary,no,691,no,no,cellular,6,feb,285
33,management,single,tertiary,no,-67,yes,no,unknown,5,may,364
33,management,single,tertiary,no,-67,yes,no,unknown,5,may,364
32,management,single,tertiary,no,2,yes,no,cellular,11,sep,100
42,housemaid,single,primary,no,5774,yes,no,unknown,15,may,54
33,blue-collar,married,secondary,no,889,yes,no,unknown,18,sep,13
39,management,married,tertiary,no,12,yes,no,unknown,23,may,130
31,management,single,secondary,no,36,no,no,cellular,27,aug,105
38,technician,single,secondary,no,258,no,yes,unknown,20,jun,587
38,entrepreneur,married,tertiary,no,170,yes,no,cellular,18,may,442
31,technician,single,tertiary,no,969,no,no,cellular,15,jun,95
36,retired,single,secondary,no,101,yes,yes,unknown,26,may,314
60,management,married,tertiary,no,759,no,no,cellular,14,aug,136
53,blue-collar,single,secondary,no,5715,no,no,cellular,28,jan,287
29,management,married,tertiary,no,451,no,no,cellular,28,jan,451
34,services,married,secondary,no,1337,no,no,cellular,17,dec,330
40,services,married,secondary,no,9374,yes,no,cellular,21,nov,7
56,blue-collar,divorced,primary,no,3021,no,no,unknown,9,jun,419
61,management,married,secondary,no,1471,no,no,cellular,12,aug,331
48,management,single,tertiary,no,8106,no,no,unknown,17,nov,125
33,technician,divorced,secondary,no,0,yes,no,cellular,7,may,177
33,housemaid,married,primary,no,212,yes,no,cellular,11,jul,260
38,technician,divorced,secondary,no,410,no,no,cellular,11,aug,63
79,retired,married,primary,no,8556,no,no,telephone,18,jan,326
40,management,married,tertiary,no,8969,yes,no,cellular,17,nov,153
36,retired,single,secondary,no,101,yes,yes,unknown,26,may,314
35,unknown,married,primary,no,365,no,no,cellular,29,aug,41
32,technician,single,secondary,no,230,yes,no,cellular,18,may,442
34,technician,married,tertiary,no,691,yes,yes,unknown,2,jun,70
53,management,married,secondary,no,66,no,yes,telephone,8,jul,141
33,technician,married,tertiary,no,8023,no,no,cellular,30,nov,107
30,technician,single,secondary,no,102,yes,no,unknown,7,may,614
33,technician,single,tertiary,no,316,no,no,cellular,21,aug,126
58,unemployed,married,tertiary,no,744,no,no,telephone,28,jan,38
32,management,single,tertiary,no,0,yes,no,cellular,22,jul,455
47,technician,married,secondary,no,-938,yes,no,unknown,28,may,176
31,blue-collar,single,tertiary,no,462,yes,yes,unknown,19,may,147
43,blue-collar,single,primary,no,2,yes,no,cellular,30,jul,783
55,management,married,tertiary,no,0,yes,no,unknown,14,may,159
69,retired,married,tertiary,no,473,no,no,cellular,7,jul,112
35,blue-collar,married,secondary,no,1257,yes,no,cellular,20,apr,93
53,technician,married,secondary,no,4541,yes,no,unknown,15,may,190
33,management,single,tertiary,no,3170,no,no,cellular,28,oct,246
34,management,single,secondary,no,524,no,no,unknown,13,aug,9
32,management,single,tertiary,no,2,yes,no,cellular,11,sep,100
31,management,single,tertiary,no,1494,no,no,cellular,13,aug,275
47,technician,married,secondary,no,-938,yes,no,unknown,28,may,176
41,management,married,secondary,no,0,no,yes,cellular,7,jul,630
46,admin.,divorced,secondary,no,7378,no,no,cellular,18,nov,466
40,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,245
47,housemaid,married,primary,no,201,yes,no,cellular,7,aug,58
48,retired,married,primary,no,5173,yes,no,unknown,18,jun,88
26,student,single,secondary,no,-147,no,no,unknown,4,jun,95
49,services,married,secondary,no,1114,no,no,cellular,17,nov,283
35,management,married,tertiary,no,8,no,no,cellular,23,apr,93
38,entrepreneur,married,tertiary,no,170,yes,no,cellular,18,may,442
32,admin.,single,secondary,no,1649,no,no,cellular,27,may,204
26,self-employed,married,tertiary,no,479,yes,no,cellular,9,feb,133
57,admin.,divorced,unknown,no,887,no,no,unknown,20,jun,43
51,technician,married,secondary,no,463,yes,no,unknown,13,may,213
55,housemaid,married,secondary,no,139,no,no,cellular,22,aug,256
25,services,married,secondary,no,72,yes,no,cellular,23,jul,305
31,technician,married,secondary,no,2363,yes,no,unknown,13,may,247
27,technician,single,secondary,no,282,no,yes,cellular,9,jul,676
48,management,single,tertiary,no,8106,no,no,unknown,17,nov,125
34,technician,married,secondary,no,-136,yes,yes,cellular,12,aug,131
29,management,single,secondary,no,584,yes,no,unknown,16,jun,541
41,self-employed,married,tertiary,no,231,no,no,cellular,7,aug,352
34,technician,married,secondary,no,-136,yes,yes,cellular,12,aug,131
24,blue-collar,married,secondary,no,0,no,no,unknown,28,may,94
47,blue-collar,married,secondary,no,480,yes,no,unknown,28,may,211
58,retired,married,secondary,no,14412,no,no,cellular,18,nov,297
20,student,single,secondary,no,1191,no,no,cellular,12,feb,274
37,management,married,tertiary,no,1689,yes,no,unknown,29,may,645
56,unemployed,married,primary,no,3391,no,no,cellular,21,apr,243
40,admin.,divorced,secondary,no,212,no,no,unknown,7,jan,176
29,blue-collar,married,secondary,no,-478,no,yes,cellular,8,jul,528
29,unemployed,single,secondary,no,486,no,no,telephone,30,apr,95
52,unknown,married,secondary,no,142,no,no,cellular,25,aug,112
25,technician,single,secondary,no,2157,yes,no,cellular,21,jul,339
54,services,married,secondary,no,812,no,no,cellular,31,jul,113
36,technician,married,tertiary,no,60,no,no,cellular,19,aug,209
41,technician,married,secondary,no,55,yes,no,cellular,6,aug,185
52,blue-collar,married,primary,no,36,no,no,cellular,13,aug,109
31,blue-collar,married,secondary,no,79,yes,yes,cellular,23,jul,235
59,technician,married,secondary,no,2308,no,no,cellular,30,apr,815
37,services,married,secondary,no,0,yes,yes,cellular,31,jul,187
56,unemployed,married,primary,no,3391,no,no,cellular,21,apr,243
33,unknown,married,secondary,no,2727,no,no,cellular,6,aug,205
31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688
36,self-employed,married,tertiary,no,16,yes,yes,cellular,18,jul,95
47,technician,married,secondary,no,-938,yes,no,unknown,28,may,176
37,technician,single,secondary,yes,375,no,no,unknown,9,jun,223
37,technician,married,secondary,no,64,yes,no,cellular,12,may,239
33,technician,single,tertiary,no,316,no,no,cellular,21,aug,126
53,self-employed,married,tertiary,no,2627,yes,yes,unknown,16,jun,18
59,retired,married,secondary,no,5706,yes,no,cellular,25,jul,471
43,unknown,single,tertiary,no,2731,no,no,cellular,21,nov,11
56,admin.,married,secondary,no,1504,yes,no,unknown,29,may,66
50,technician,married,tertiary,no,199,yes,yes,cellular,3,feb,116
30,unemployed,single,tertiary,no,302,no,no,cellular,11,feb,528
36,self-employed,married,tertiary,no,506,no,no,cellular,25,aug,47
35,services,married,secondary,no,819,yes,no,telephone,14,jul,102
37,technician,single,secondary,yes,375,no,no,unknown,9,jun,223
42,blue-collar,married,unknown,no,-406,yes,no,cellular,30,jul,152
25,technician,single,secondary,no,2157,yes,no,cellular,21,jul,339
33,technician,single,tertiary,no,123,no,no,cellular,19,aug,264
27,blue-collar,single,primary,no,-179,yes,no,cellular,15,may,54
41,blue-collar,married,secondary,no,338,yes,no,unknown,14,may,87
37,technician,married,secondary,no,64,yes,no,cellular,12,may,239
34,services,married,secondary,no,2211,no,no,unknown,8,may,149
39,management,married,tertiary,no,12,yes,no,unknown,23,may,130
51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,57
54,services,married,unknown,no,386,no,yes,cellular,19,nov,74
33,technician,divorced,tertiary,no,39,no,no,cellular,19,aug,123
38,entrepreneur,married,tertiary,no,170,yes,no,cellular,18,may,442
53,blue-collar,married,secondary,no,25,no,no,cellular,22,aug,528
40,management,single,unknown,no,838,yes,no,unknown,12,may,619
40,management,married,tertiary,no,0,no,no,cellular,10,nov,147
40,management,married,tertiary,no,-495,no,yes,cellular,29,jul,303
34,blue-collar,married,primary,no,351,no,yes,cellular,14,jul,326
27,blue-collar,single,primary,no,-179,yes,no,cellular,15,may,54
34,blue-collar,married,secondary,no,622,yes,no,unknown,21,may,145
33,services,married,primary,no,6904,no,no,telephone,20,nov,114
46,admin.,married,secondary,no,22,yes,no,cellular,7,aug,414
77,retired,married,tertiary,no,7802,no,no,telephone,4,may,421
37,technician,single,secondary,no,61,yes,no,unknown,19,may,182
37,management,married,tertiary,no,5106,no,no,cellular,30,apr,244
47,technician,married,secondary,no,1233,yes,no,unknown,11,sep,91
59,technician,married,secondary,no,2308,no,no,cellular,30,apr,815
47,blue-collar,divorced,secondary,yes,-535,yes,no,cellular,30,jul,71
42,housemaid,single,primary,no,5774,yes,no,unknown,15,may,54
33,blue-collar,single,secondary,no,706,yes,no,cellular,7,apr,329
33,admin.,single,tertiary,no,490,yes,no,cellular,7,may,31
40,management,married,tertiary,no,-495,no,yes,cellular,29,jul,303
42,services,married,secondary,no,-91,yes,yes,cellular,5,feb,43
28,services,single,secondary,no,94,yes,no,cellular,16,apr,300
43,management,married,secondary,no,17555,no,no,cellular,26,aug,14
37,management,single,tertiary,no,9,no,no,cellular,26,aug,484
50,technician,divorced,secondary,no,-54,yes,yes,cellular,13,may,698
32,management,single,tertiary,no,0,yes,no,cellular,22,jul,455
52,blue-collar,married,secondary,no,2087,yes,no,cellular,31,aug,267
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257
30,technician,single,tertiary,no,-970,no,yes,cellular,21,aug,194
36,blue-collar,married,secondary,no,-73,yes,yes,cellular,18,may,15
33,admin.,married,secondary,no,0,yes,no,telephone,17,jul,1448
30,technician,single,tertiary,no,1185,yes,no,cellular,30,apr,284
40,admin.,single,secondary,no,263,yes,no,unknown,6,may,231
42,admin.,married,unknown,no,642,yes,yes,unknown,16,may,509
57,admin.,divorced,unknown,no,887,no,no,unknown,20,jun,43
37,technician,single,secondary,no,5436,yes,no,cellular,6,may,7
39,management,married,tertiary,no,2763,yes,no,unknown,2,jun,526
26,admin.,single,secondary,no,255,no,no,cellular,30,apr,457
34,technician,married,tertiary,no,691,yes,yes,unknown,2,jun,70
27,technician,single,secondary,no,235,yes,no,cellular,12,may,13
52,blue-collar,married,secondary,no,2087,yes,no,cellular,31,aug,267
31,technician,single,secondary,no,35,no,yes,cellular,16,jul,229
48,management,married,tertiary,no,5887,no,no,cellular,13,aug,227
56,unknown,married,unknown,no,0,no,no,unknown,20,jun,471
59,admin.,divorced,secondary,no,975,yes,no,unknown,15,may,263
55,services,married,secondary,no,-31,no,yes,cellular,13,aug,81
42,admin.,divorced,secondary,no,1076,yes,no,unknown,14,may,213
31,technician,single,tertiary,no,1166,yes,no,unknown,3,jun,207
33,technician,single,tertiary,no,316,no,no,cellular,21,aug,126
48,blue-collar,married,unknown,no,439,yes,no,cellular,2,feb,212
35,unemployed,single,secondary,no,2116,yes,no,cellular,13,may,409
36,blue-collar,married,secondary,no,1587,yes,no,cellular,28,jul,200
42,services,married,secondary,no,-91,yes,yes,cellular,5,feb,43
36,technician,married,tertiary,no,60,no,no,cellular,19,aug,209
45,technician,married,secondary,no,1477,yes,no,cellular,8,jul,355
24,blue-collar,married,secondary,no,-254,yes,yes,unknown,27,may,290
31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688
38,management,married,tertiary,no,12877,no,no,unknown,17,jun,118
34,blue-collar,married,secondary,no,8309,yes,yes,cellular,19,nov,50
31,blue-collar,married,secondary,no,-498,yes,no,cellular,21,jul,357
53,blue-collar,single,secondary,no,5715,no,no,cellular,28,jan,287
32,admin.,single,secondary,no,1649,no,no,cellular,27,may,204
37,blue-collar,divorced,secondary,no,33,yes,no,cellular,20,nov,106
56,blue-collar,divorced,primary,no,3021,no,no,unknown,9,jun,419
55,management,married,tertiary,no,540,no,no,cellular,19,nov,124
45,technician,married,secondary,no,1415,yes,no,cellular,17,nov,483
43,technician,married,tertiary,no,192,no,no,cellular,5,aug,203
35,unknown,married,primary,no,365,no,no,cellular,29,aug,41
36,management,married,tertiary,no,-296,yes,no,cellular,14,may,113
39,services,married,secondary,no,0,yes,no,unknown,20,may,793
48,blue-collar,married,secondary,no,705,no,no,unknown,13,may,108
40,services,married,secondary,no,-342,yes,no,unknown,26,may,754
58,housemaid,married,primary,no,5278,yes,no,unknown,4,jun,763
34,technician,married,secondary,no,1,yes,no,cellular,19,nov,108
31,blue-collar,married,secondary,no,79,yes,yes,cellular,23,jul,235
33,management,married,tertiary,no,296,no,no,cellular,16,jul,90
51,admin.,married,secondary,no,2967,no,no,unknown,17,jun,83
41,technician,married,secondary,no,55,yes,no,cellular,6,aug,185
57,technician,married,secondary,no,839,no,yes,unknown,5,may,225
47,blue-collar,divorced,secondary,yes,-535,yes,no,cellular,30,jul,71
40,management,divorced,tertiary,no,502,yes,no,cellular,3,feb,267
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257
38,management,married,tertiary,no,950,no,no,cellular,5,aug,210
47,technician,married,secondary,no,-938,yes,no,unknown,28,may,176
32,technician,single,secondary,no,493,no,no,cellular,13,aug,289
32,self-employed,married,primary,no,286,yes,no,cellular,6,aug,175
41,blue-collar,married,primary,no,1172,yes,no,unknown,15,may,153
61,retired,married,secondary,no,2917,no,no,cellular,6,oct,215
62,retired,married,secondary,no,816,no,no,cellular,1,sep,28
36,self-employed,married,tertiary,no,506,no,no,cellular,25,aug,47
40,self-employed,married,primary,no,2077,yes,no,cellular,13,may,363
40,blue-collar,married,secondary,no,498,yes,no,cellular,8,may,55
43,blue-collar,married,secondary,no,699,yes,yes,cellular,20,nov,1258
73,retired,married,primary,no,1388,no,no,cellular,20,jul,146
57,technician,married,secondary,no,6164,no,no,cellular,19,nov,161
43,technician,married,tertiary,no,192,no,no,cellular,5,aug,203
46,admin.,married,secondary,no,179,yes,no,cellular,29,jan,194
31,services,divorced,primary,no,459,yes,no,cellular,7,may,623
38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,1484
34,technician,single,secondary,no,2178,yes,no,cellular,26,may,41
43,blue-collar,married,secondary,no,699,yes,yes,cellular,20,nov,1258
30,technician,single,tertiary,no,-970,no,yes,cellular,21,aug,194
38,self-employed,married,secondary,no,746,no,no,unknown,20,jun,256
61,management,married,secondary,no,1471,no,no,cellular,12,aug,331
34,blue-collar,married,secondary,no,622,yes,no,unknown,21,may,145
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257
59,blue-collar,married,primary,no,0,no,no,cellular,18,nov,167
42,blue-collar,married,secondary,no,117,yes,no,unknown,9,may,147
26,self-employed,married,tertiary,no,479,yes,no,cellular,9,feb,133
33,unknown,married,secondary,no,2727,no,no,cellular,6,aug,205
34,services,married,secondary,no,-315,yes,no,unknown,8,may,56
48,blue-collar,married,secondary,no,333,yes,no,cellular,14,may,24
56,unknown,married,unknown,no,0,no,no,unknown,20,jun,471
49,services,married,secondary,no,400,no,no,cellular,21,aug,151
35,management,married,tertiary,no,8,no,no,cellular,23,apr,93
43,admin.,married,secondary,no,264,yes,no,cellular,17,apr,113
37,management,married,tertiary,no,5106,no,no,cellular,30,apr,244
44,technician,divorced,unknown,no,759,yes,no,unknown,23,may,397
33,technician,single,secondary,no,291,no,no,cellular,25,aug,72
36,blue-collar,single,secondary,no,168,yes,no,telephone,12,may,52
37,technician,married,secondary,no,64,yes,no,cellular,12,may,239
32,management,married,tertiary,no,553,yes,no,cellular,22,jul,72
50,technician,married,secondary,no,-568,yes,yes,unknown,28,may,860
32,management,single,tertiary,no,0,yes,no,cellular,22,jul,455
38,unemployed,married,primary,no,-363,no,no,unknown,12,jun,340
61,retired,married,secondary,no,2917,no,no,cellular,6,oct,215
42,blue-collar,married,unknown,no,-406,yes,no,cellular,30,jul,152
30,technician,married,tertiary,no,569,no,no,cellular,27,aug,976
26,services,single,secondary,yes,-162,yes,no,cellular,15,may,44
63,retired,married,tertiary,no,133,yes,no,cellular,13,feb,104
43,technician,married,tertiary,no,192,no,no,cellular,5,aug,203
34,technician,divorced,tertiary,no,674,yes,no,cellular,7,aug,587
32,admin.,single,secondary,no,10218,yes,no,cellular,19,nov,149
31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688
30,management,single,tertiary,no,2,no,no,cellular,16,jun,102
37,management,married,tertiary,no,347,yes,no,cellular,22,jul,282
37,technician,single,secondary,no,-242,yes,no,cellular,13,aug,1149
76,retired,divorced,primary,no,86,no,no,cellular,12,aug,192
40,management,married,tertiary,no,-495,no,yes,cellular,29,jul,303
26,technician,single,tertiary,no,1216,yes,no,cellular,16,apr,472
43,admin.,married,secondary,no,264,yes,no,cellular,17,apr,113
25,blue-collar,married,primary,yes,-589,yes,no,unknown,3,jun,233
62,retired,married,secondary,no,816,no,no,cellular,1,sep,28
36,technician,married,tertiary,no,60,no,no,cellular,19,aug,209
43,management,single,tertiary,no,1696,yes,no,cellular,26,aug,257
33,technician,single,tertiary,no,316,no,no,cellular,21,aug,126
38,services,married,secondary,no,-140,no,no,unknown,25,jun,456
21,services,single,secondary,no,361,no,no,telephone,5,jun,329
38,unemployed,married,primary,no,-363,no,no,unknown,12,jun,340
29,student,single,unknown,no,145,no,no,cellular,14,aug,105
35,unemployed,single,secondary,no,2116,yes,no,cellular,13,may,409
53,technician,married,tertiary,no,3177,no,no,cellular,8,aug,92
41,self-employed,married,tertiary,no,231,no,no,cellular,7,aug,352
31,technician,single,secondary,no,35,no,yes,cellular,16,jul,229
26,admin.,single,secondary,no,255,no,no,cellular,30,apr,457
58,management,married,primary,no,2769,yes,no,cellular,11,jul,94
40,management,married,tertiary,no,-495,no,yes,cellular,29,jul,303
35,blue-collar,married,secondary,no,262,no,no,cellular,2,jul,96
50,technician,married,tertiary,no,199,yes,yes,cellular,3,feb,116
34,technician,single,secondary,no,440,yes,no,cellular,6,may,445
36,technician,married,secondary,no,5902,yes,no,unknown,23,may,219
40,technician,married,secondary,no,2715,yes,no,unknown,29,may,125
30,self-employed,single,secondary,no,192,no,no,cellular,22,jul,423
28,services,single,secondary,no,94,yes,no,cellular,16,apr,300
41,blue-collar,married,secondary,no,4900,yes,no,telephone,31,jul,121
56,unemployed,divorced,primary,no,1770,no,no,cellular,5,feb,916
35,services,married,secondary,no,819,yes,no,telephone,14,jul,102
27,student,single,tertiary,no,118,no,no,cellular,25,may,112
39,technician,single,tertiary,no,1043,no,no,cellular,18,aug,195
40,technician,married,tertiary,no,0,no,no,cellular,19,aug,44
28,blue-collar,married,secondary,no,225,yes,yes,unknown,7,may,866
35,blue-collar,married,secondary,no,1257,yes,no,cellular,20,apr,93
33,blue-collar,married,primary,no,-195,no,no,unknown,20,sep,9
63,retired,married,tertiary,no,133,yes,no,cellular,13,feb,104
50,entrepreneur,married,secondary,no,665,no,no,telephone,17,nov,238
30,admin.,married,secondary,no,2678,yes,no,cellular,18,may,23
34,technician,married,secondary,no,-136,yes,yes,cellular,12,aug,131
40,management,married,tertiary,no,-495,no,yes,cellular,29,jul,303
42,management,divorced,tertiary,no,401,yes,no,cellular,24,jul,217
54,blue-collar,divorced,primary,no,-182,no,no,cellular,9,jul,98
42,management,divorced,tertiary,no,401,yes,no,cellular,24,jul,217
28,admin.,single,secondary,no,26,yes,no,cellular,7,may,227
33,technician,married,secondary,no,359,yes,no,cellular,20,apr,210
44,entrepreneur,married,primary,no,276,yes,yes,unknown,15,may,219
32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860
42,admin.,married,unknown,no,642,yes,yes,unknown,16,may,509
56,admin.,married,secondary,no,16873,no,no,cellular,7,oct,223
44,technician,divorced,unknown,no,759,yes,no,unknown,23,may,397
34,entrepreneur,married,tertiary,no,355,yes,no,unknown,16,may,261
26,self-employed,married,tertiary,no,479,yes,no,cellular,9,feb,133
53,admin.,married,secondary,no,105,no,yes,cellular,21,aug,74
40,management,single,unknown,no,838,yes,no,unknown,12,may,619
30,management,married,tertiary,no,0,yes,no,cellular,9,jul,127
29,blue-collar,single,secondary,no,-20,no,yes,cellular,21,jul,574
37,admin.,married,secondary,no,1123,no,yes,unknown,28,may,138
40,self-employed,married,secondary,no,1516,yes,yes,unknown,23,may,373
49,entrepreneur,divorced,secondary,no,32,no,no,cellular,5,feb,128
34,management,married,tertiary,no,2594,yes,no,cellular,21,nov,161
29,blue-collar,married,secondary,no,-478,no,yes,cellular,8,jul,528
30,technician,single,tertiary,no,60,yes,yes,unknown,7,may,306
29,blue-collar,married,secondary,no,-478,no,yes,cellular,8,jul,528
32,technician,married,unknown,no,14533,no,no,cellular,31,dec,646
40,admin.,divorced,secondary,no,212,no,no,unknown,7,jan,176
58,retired,married,primary,no,4007,no,no,cellular,30,nov,598
48,blue-collar,married,unknown,no,439,yes,no,cellular,2,feb,212
51,blue-collar,divorced,unknown,no,10287,yes,no,unknown,29,may,117
34,management,married,tertiary,no,2594,yes,no,cellular,21,nov,161
37,technician,single,secondary,no,61,yes,no,unknown,19,may,182
31,technician,single,secondary,no,35,no,yes,cellular,16,jul,229
24,blue-collar,married,secondary,no,0,no,no,unknown,28,may,94
57,admin.,divorced,primary,no,179,yes,no,cellular,15,may,67
33,technician,single,secondary,no,291,no,no,cellular,25,aug,72
53,admin.,married,secondary,no,105,no,yes,cellular,21,aug,74
57,blue-collar,married,primary,no,282,no,yes,cellular,7,jul,261
35,management,divorced,tertiary,no,0,yes,no,telephone,29,oct,171
46,management,divorced,tertiary,no,624,no,no,cellular,17,sep,336
37,services,married,secondary,no,0,yes,yes,cellular,31,jul,187
39,management,single,tertiary,no,3797,no,no,cellular,2,jun,96
30,self-employed,single,secondary,no,192,no,no,cellular,22,jul,423
63,retired,married,tertiary,no,133,yes,no,cellular,13,feb,104
38,services,married,secondary,no,8876,no,no,cellular,2,feb,280
32,admin.,single,secondary,no,10218,yes,no,cellular,19,nov,149
48,blue-collar,married,secondary,no,333,yes,no,cellular,14,may,24
37,management,married,tertiary,no,347,yes,no,cellular,22,jul,282
35,management,divorced,tertiary,no,160,yes,no,unknown,4,jun,141
